,Price,Returns,Lagged_Returns
volume_adi,0.8040568516985557,0.008795333015084575,-0.03683396724502807
volume_obv,0.9723772175510459,-0.02160618251864632,-0.035082757939201695
volume_cmf,-0.03479053378603405,0.12935132187261028,0.007535631614801893
volume_fi,0.11784315220391582,0.26059555313014116,0.008122056015468088
volume_em,-0.021616504118861738,0.561056857452514,-0.016047404596048972
volume_sma_em,-0.07894327695220994,0.14762728977737105,-0.0018637053048691865
volume_vpt,0.9732171700992619,-0.023971065673360888,-0.03590845740150966
volume_vwap,0.9970351280615752,-0.037614294737316784,-0.04254221845663843
volume_mfi,-0.04171963036978257,0.19529888064281262,0.02652187918605148
volume_nvi,-0.8687291390504401,0.022730732796384136,0.014547467033649071
volatility_bbm,0.9946789472845348,-0.04083216221185362,-0.04312445755376876
volatility_bbh,0.9915008419055872,-0.04191027725332805,-0.044406210257246975
volatility_bbl,0.9935059290640912,-0.039390721780878234,-0.04143697793480333
volatility_bbw,0.12122128104465675,-0.010057240856059163,-0.0236914240483257
volatility_bbp,-0.00722967609209431,0.4359292873029545,0.0367258938633933
volatility_bbhi,-0.01566638296172874,0.3497213512104515,0.0252695830759797
volatility_bbli,0.020044276061111227,-0.27163558998502313,-0.06511178938694759
volatility_kcc,0.997448191324647,-0.038726070507123275,-0.04176969895591654
volatility_kch,0.9972110296325041,-0.03891363045730686,-0.042012387164357845
volatility_kcl,0.9973982498432045,-0.038517004309472434,-0.04150168113648
volatility_kcw,-0.08804670563042252,0.005557315459639418,-0.0076748397427445535
volatility_kcp,0.0019114078957165647,0.49965164826818476,0.01965053513327824
volatility_kchi,0.09517063532418683,0.3596445938447548,-0.011293408073868874
volatility_kcli,0.08836553919179775,-0.3336060160444678,-0.02518138955610629
volatility_dcl,0.9944538432505904,-0.036195141332541356,-0.04141068758527635
volatility_dch,0.9926367178297907,-0.037110985480842865,-0.043896250293050686
volatility_dcm,0.9950646892205328,-0.03674505339384658,-0.042812475305725704
volatility_dcw,0.07713715901322252,0.01506458047099548,-0.019826261483054695
volatility_dcp,-0.018904092177296782,0.3648300273215494,0.020415711130007605
volatility_atr,0.8626839262737644,-0.03761086280989471,-0.04391350284039596
volatility_ui,0.1141965349529704,-0.059692247352830394,-0.025607896864762086
trend_macd,0.10891036324217761,0.0743935820856566,0.017755039369394193
trend_macd_signal,0.11510685280490304,0.028709703636559693,0.016217951944486005
trend_macd_diff,-0.00026475435518673985,0.16770331762811388,0.008518014760417612
trend_sma_fast,0.9970667235733559,-0.03859579486066889,-0.04193406103810628
trend_sma_slow,0.9927147031455332,-0.04220592532480822,-0.044087855399631566
trend_ema_fast,0.9978505235926499,-0.036535437400266935,-0.04234969024172588
trend_ema_slow,0.9946143686383307,-0.040267855382480726,-0.04330971718730237
trend_vortex_ind_pos,-0.00029006125807724673,0.15803295752301952,0.020093773700077876
trend_vortex_ind_neg,-0.016973899061786504,-0.1772017282412618,-0.00094512419007155
